document_id,air_percent,data_mode,dust_concentration,fan_on,humidity,light_lux,light_on,mq135_raw,recorded_at,sensor_id,temperature,uptime_ms
mqRfdFk4Zeb5tYCfItfe,67.57,accelerated_demo,5.16,1,71.4,64.17,1,1328,2026-04-10T00:00:00+00:00,ESP32_ComfortSync,31.2,10031
grKh3GByE8rwi9FMdJyn,67.57,accelerated_demo,0.0,1,70.8,60.83,1,1328,2026-04-10T00:00:05+00:00,ESP32_ComfortSync,31.8,10031
ccpcHDSVNcigRpiINh0M,65.18,accelerated_demo,0.0,1,69.9,78.33,1,1426,2026-04-10T00:00:10+00:00,ESP32_ComfortSync,31.9,10031
lkWoHqPSj7LFZfdOt7rB,75.02,accelerated_demo,0.0,1,75.9,42.5,1,1023,2026-04-10T00:00:15+00:00,ESP32_ComfortSync,30.8,10031
2rZmYHWTNwlctvQe7SYW,64.71,accelerated_demo,1.69,1,69.9,95.83,1,1445,2026-04-10T00:00:20+00:00,ESP32_ComfortSync,32.0,10031
sB4ZHikYFmuZDmuyEv7A,65.52,accelerated_demo,0.0,0,69.8,115.0,1,1412,2026-04-10T00:00:25+00:00,ESP32_ComfortSync,32.0,10031
VlfWAXfaq8TSY4QImMai,72.48,accelerated_demo,0.0,1,71.3,48.33,1,1127,2026-04-10T00:00:30+00:00,ESP32_ComfortSync,31.9,10031
HD8QadnF0h1fbc1LrhMb,64.62,accelerated_demo,0.0,1,69.6,89.17,1,1449,2026-04-10T00:00:35+00:00,ESP32_ComfortSync,32.0,20031
xBXAWthlV4ZP2WNyLMI2,67.06,accelerated_demo,250.54,1,71.2,49.17,1,1349,2026-04-10T00:00:40+00:00,ESP32_ComfortSync,31.9,20031
mxmUeP4xieqb0WfpdDY5,65.27,accelerated_demo,0.0,0,69.8,115.83,1,1422,2026-04-10T00:00:45+00:00,ESP32_ComfortSync,32.0,20031
Mk6KWMPAnKNDn0fuVULQ,67.69,accelerated_demo,249.33,1,70.2,53.33,1,1323,2026-04-10T00:00:50+00:00,ESP32_ComfortSync,31.7,20031
Xh9oRBoxAoXQzHeVWvUx,67.84,accelerated_demo,257.96,1,75.9,42.5,1,1317,2026-04-10T00:00:55+00:00,ESP32_ComfortSync,30.8,20031
M0Y2ZhLXFDZJocm4Vm9P,65.45,accelerated_demo,250.95,1,70.1,79.17,1,1415,2026-04-10T00:01:00+00:00,ESP32_ComfortSync,31.9,20031
R3xquFb5YmvzaxfSVGJ6,67.57,accelerated_demo,253.12,1,71.4,61.67,1,1328,2026-04-10T00:01:05+00:00,ESP32_ComfortSync,31.1,20031
EwhwyHPqHDADVkhtGKjX,64.66,accelerated_demo,249.9,1,69.5,65.83,1,1447,2026-04-10T00:01:10+00:00,ESP32_ComfortSync,32.0,30031
AKLenUufb8tlS6SsnLdV,67.81,accelerated_demo,250.54,1,70.1,50.0,1,1318,2026-04-10T00:01:15+00:00,ESP32_ComfortSync,31.7,30031
i3qZ1xeZPV5IY1kyJpQf,61.54,accelerated_demo,259.08,1,75.9,36.67,1,1575,2026-04-10T00:01:20+00:00,ESP32_ComfortSync,30.9,30031
SuVNg95heVJrF0kmwOGD,65.2,accelerated_demo,251.43,1,70.0,92.5,1,1425,2026-04-10T00:01:25+00:00,ESP32_ComfortSync,31.9,30031
hsrui9o9bOwZ8iWfSJQt,65.2,accelerated_demo,251.51,0,69.8,114.17,1,1425,2026-04-10T00:01:30+00:00,ESP32_ComfortSync,32.0,30031
Tqhp3kODbpzxCX8eMgLq,65.57,accelerated_demo,251.35,1,70.9,52.5,1,1410,2026-04-10T00:01:35+00:00,ESP32_ComfortSync,31.9,30031
zVlM2JiEBJz6k4wCilb5,67.45,accelerated_demo,252.72,1,71.4,58.33,1,1333,2026-04-10T00:01:40+00:00,ESP32_ComfortSync,31.2,30031
wGNSfcLUhD62ZEw5Cz6Z,68.18,accelerated_demo,0.0,1,67.9,67.5,1,1303,2026-04-10T00:01:45+00:00,ESP32_ComfortSync,29.1,370031
hWksje7ItfEO69PkrFue,64.96,accelerated_demo,0.0,1,69.8,100.0,1,1435,2026-04-10T00:01:50+00:00,ESP32_ComfortSync,32.0,430031
iZIp50VDjpKmBfy2u1UV,68.33,accelerated_demo,254.41,1,66.9,59.17,1,1297,2026-04-10T00:01:55+00:00,ESP32_ComfortSync,28.8,470031
uDI9SUn4fH62CWqn0Ru2,68.5,accelerated_demo,253.93,1,66.2,60.83,1,1290,2026-04-10T00:02:00+00:00,ESP32_ComfortSync,28.9,490031
kdMhAw1BdnyerNqc7jsy,68.52,accelerated_demo,254.01,1,65.0,64.17,1,1289,2026-04-10T00:02:05+00:00,ESP32_ComfortSync,28.9,560031
5u8ztgze1lns1z6AiFZk,68.67,accelerated_demo,254.81,1,64.4,63.33,1,1283,2026-04-10T00:02:10+00:00,ESP32_ComfortSync,28.8,630031
wdHvPGhEDYOAKvMY3uZH,68.86,accelerated_demo,254.25,1,63.6,61.67,1,1275,2026-04-10T00:02:15+00:00,ESP32_ComfortSync,28.5,830031
tQrG7ycwPX4Vj49dTCvv,68.99,accelerated_demo,254.89,1,63.1,65.0,1,1270,2026-04-10T00:02:20+00:00,ESP32_ComfortSync,28.3,920031
jacISURj42qir2pVG9qH,69.16,accelerated_demo,253.28,1,63.3,70.0,1,1263,2026-04-10T00:02:25+00:00,ESP32_ComfortSync,28.3,930031
uEcIR4IPWB1AX25V19OK,69.13,accelerated_demo,254.33,1,62.3,115.0,1,1264,2026-04-10T00:02:30+00:00,ESP32_ComfortSync,28.2,1010031
wluBZc6l0VsbbJNJUMea,69.16,accelerated_demo,0.0,1,62.1,116.67,1,1263,2026-04-10T00:02:35+00:00,ESP32_ComfortSync,28.2,1030031
5wsLVuoWKn8Plw5qeqRm,69.45,accelerated_demo,254.57,1,62.2,117.5,1,1251,2026-04-10T00:02:40+00:00,ESP32_ComfortSync,28.1,1080031
iRQZrRyXERJPqm5bpicm,69.4,accelerated_demo,253.85,1,61.2,108.33,1,1253,2026-04-10T00:02:45+00:00,ESP32_ComfortSync,28.0,1280031
tgHQwm3WvApLaxdXq99f,69.57,accelerated_demo,254.33,1,61.0,81.67,1,1246,2026-04-10T00:02:50+00:00,ESP32_ComfortSync,28.0,1410031
hNYAQYqpwc6NNhgWl3bj,69.77,accelerated_demo,254.17,0,61.0,63.33,1,1238,2026-04-10T00:02:55+00:00,ESP32_ComfortSync,27.9,1460031
gtgRCzIRyBPY8Wguvi2Y,69.84,accelerated_demo,255.38,0,60.3,89.17,1,1235,2026-04-10T00:03:00+00:00,ESP32_ComfortSync,27.8,1710031
6QXa8H0i7MTbUhAZL6DM,69.99,accelerated_demo,254.57,0,60.2,84.17,1,1229,2026-04-10T00:03:05+00:00,ESP32_ComfortSync,27.8,1730031
sF6LpCiNLtVpxxmU90C2,64.4,accelerated_demo,0.0,1,75.4,34.17,1,1458,2026-04-10T00:03:10+00:00,ESP32_ComfortSync,31.0,5500
hlJjgtlHiwJPH2jYJI6K,70.31,accelerated_demo,254.09,0,59.6,60.83,1,1216,2026-04-10T00:03:15+00:00,ESP32_ComfortSync,27.8,1850031
vwCzO5n87GDFM4mosPxN,69.94,accelerated_demo,254.33,0,59.5,55.0,1,1231,2026-04-10T00:03:20+00:00,ESP32_ComfortSync,27.7,2080031
u3RUX5a03op3gdaaAYs2,69.79,accelerated_demo,254.33,0,59.6,56.67,1,1237,2026-04-10T00:03:25+00:00,ESP32_ComfortSync,27.7,2100031
lZWXPnTcBYGjwvi44urb,69.84,accelerated_demo,254.33,0,59.1,73.33,1,1235,2026-04-10T00:03:30+00:00,ESP32_ComfortSync,27.7,2230031
hdWHQFqqlYmGgwB2tH7P,69.77,accelerated_demo,0.0,0,58.9,74.17,1,1238,2026-04-10T00:03:35+00:00,ESP32_ComfortSync,27.7,2280031
69DLqT6hMcIUzw9SbeLM,71.04,accelerated_demo,253.85,0,59.5,67.5,1,1186,2026-04-10T00:03:40+00:00,ESP32_ComfortSync,27.7,2520031
twCwepDep2ojpCvzuB0P,70.57,accelerated_demo,254.57,0,59.2,49.17,1,1205,2026-04-10T00:03:45+00:00,ESP32_ComfortSync,27.3,3150031
